Cartella;IP;GravitaIP;EtaAnni;MORTE;MC;SURVIVALTIME;Terapia;Antiaritmico;PesoKg;VTricuspide;AsxAo;OndaE;OndaEA;FrazEspuls;FrazAccorc;EDVI;ESVI;Allodiast;Allosist
S0601;NO;0;10,35;0;;0;2;NO;5,25;0;2,5;1,15;,97;70;37;78,69;23,75;1,58;,99
C0621;NO;0;15,21;1;1;341;3;NO;6;0;1,61;1,5;1,47;83;51;130,58;23,88;1,94;,99
B0918;NO;0;15,77;1;1;117;3;NO;3,2;0;2,5;1,87;2,08;91;62;180,35;16,22;2,21;,84
R1009;NO;0;13,54;1;1;93;4;SI;26,5;0;3,07;2,28;2,85;75;44;234,17;40,15;2,09;1,16
R1513;NO;0;10,72;0;;666;3;NO;11;0;2,54;,75;,86;69;38;139,84;43,89;1,98;1,23
E0901;NO;0;8,5;1;1;712;2;NO;4,8;0;1,8;1,37;1,69;57;30;191,23;82,42;2,25;1,58
M0903;NO;0;11,17;0;;0;2;NO;5,3;0;1,77;;;76;44;141,9;33,31;2,01;1,13
C0606;NO;0;10,1;0;;730;2;NO;6;0;1,84;1,06;1,43;66;36;120,24;40,39;1,88;1,21
L0606;NO;0;12,66;1;0;751;2;NO;20,3;0;1,3;;;69;38;128,87;40,31;1,9;1,17
F1001;NO;0;14,36;1;;279;3;NO;6,5;0;2,68;1,18;,94;90;59;242,4;16,23;2,09;,85
D0911;NO;0;14,36;1;1;76;3;NO;15;0;2,51;1,35;2,25;73;42;154,64;42,4;2,06;1,2
D1104;NO;0;12,11;0;;1115;3;NO;4,7;0;2,16;1,7;1,45;85;54;222,67;22,4;2,09;,97
L0708;NO;0;13,86;1;1;235;2;NO;6;0;2,27;1,88;1,25;86;55;119,33;16,22;1,87;,85
P1505;NO;0;14,16;1;0;582;3;NO;7,1;0;2,02;1,18;1,22;58;31;190,62;79,96;2,25;1,55
B0918;NO;0;13,78;1;1;996;2;NO;20;0;1,93;1,27;2,15;83;51;192,23;33,81;2,28;1,12
