id;TemaPrioritario;FONTE;CodiceCategoria;CATEGORIA;UNITA;FinProvincia;FinRegione;TotSpese
4;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;22356,25;22356,25;83037,5
38;5;Compet. per le imprese;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;99750;99750;370500
39;11;Agenda digitale;40;OPERE E INFRASTRUTTURE PER LA RICERCA;ASSISI;3802,9;3802,9;18423,2
43;4;Ricerca e innovazione;18;TECNOLOGIE INFORMATICHE;ASSISI;193020;193020;474360
73;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;10688,7;10688,7;
106;6;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;13060;13060;
160;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4295;4295;8590
163;6;Ricerca e innovazione;41;OPERE E STRUTTURE PER IL TURISMO;ASSISI;5898,48;7793,44;25427,84
170;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4335;4335;8670
218;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;16322;16322;48966
238;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;5086;5086;15258
251;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;18360,5;18360,5;55081,5
259;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;6751,6;6751,6;20254,8
262;11;Agenda digitale;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;875;875;1750
265;11;Agenda digitale;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;6200;6200;12400
281;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;4125;4125;8250
309;54;Ambiente e prevenzione dei rischi;11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;ASSISI;51750;51750;
310;54;Ambiente e prevenzione dei rischi;11;PROTEZIONE, VALORIZZAZIONE E FRUIZIONE DELL'AMBIENTE;ASSISI;220500;220500;
322;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4060;4060;8120
326;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4012,5;4012,5;8025
348;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;5400;5400;10800
351;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;4875;4875;9750
392;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;29000;29000;87200
393;7;Ricerca e innovazione;18;TECNOLOGIE INFORMATICHE;ASSISI;10000;10000;31485,3
396;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;3000;3000;11028
408;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;2360;2360;7080
413;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;7220;7220;21660
414;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;49100;49100;147300
416;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;8976;8976;26928
418;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;21975,8;21975,8;65927,4
494;5;Compet. per le imprese;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;61000;61000;183000
505;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;19200;19200;57600
509;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;84500;84500;735000
510;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;90500;90500;564303
535;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;6724,6;6724,6;20173,8
538;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;4317,31;4317,31;21718,32
544;5;Compet. per le imprese;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;5825;5825;11650
557;11;Agenda digitale;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;12212,5;12212,5;24425
563;11;Agenda digitale;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;29803,25;29803,25;59610,5
612;5;Compet. per le imprese;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;2600;2600;5200
616;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;3500;3500;8000
618;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;2205;2205;4410
627;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;2000;2000;4000
634;5;Compet. per le imprese;42;STRUTTURE ED ATTREZZATURE PER IL COMMERCIO E I SERVIZI;ASSISI;18900;18900;37800
646;5;Compet. per le imprese;62;PROGETTI DI RICERCA E  DI INNOVAZIONE PRESSO IMPRESE;ASSISI;1250;1250;2500
650;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;1250;1250;3500
652;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;250;250;500
653;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;250;250;500
655;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;250;250;500
663;5;Compet. per le imprese;18;TECNOLOGIE INFORMATICHE;ASSISI;437,5;437,5;875
669;5;Compet. per le imprese;42;STRUTTURE ED ATTREZZATURE PER IL COMMERCIO E I SERVIZI;ASSISI;2149,75;2149,75;4299,5
672;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;7978,75;7978,75;15957,5
682;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;4768;4768;14304
